Indicator,Definition,System Part,Units,Calculation,ID,Objective,Comment
Reused water,Percentage of reused water that enters the system,12.0,%,(Total annual reused water/Total Annual available water)*100,75,2,,
Employees per produced water,Number of full time employees per unit of water produced,11.0,pp./Mm3-yr,(Number of employees/Total water produced (Mm3),76,11,,
Management and support personnel,"Percentage of employees dedicated to management, planning, PR with stakeholders, legal, internal audits, environmental management, IT",11.0,%,(Administrative personnel/total personnel)*100,77,11,,
HR personnel,"Percentage of employees dedicated to Personnel education, Safety, Medical services and social activities",11.0,%,(HR personnel/Total personnel)*100,78,11,,
Finance and Commercial Personnel,"Percentage of employees dedicated to financial planning, administration, economic and material control",11.0,%,Finance and Commerce Employees/Total personnel)*100,79,11,,
Costumer services personnel,"Percentage of employees dedicated to accountability, and PR with clients",11.0,%,Costumer service employees/total personnel)*100,80,11,,
Technical activities services personnel,"Percentage of employees dedicated to planning, constructing and maintaining infrastructure and facilities",11.0,%,Technical services employees/total personnel)*100,81,11,,
Water Resource personnel,Number of employees working on watershed and water resource management per volume of water produced,11.0,N°/Mm3-yr,Number of Water resource personnel/total water produced (Mm3),82,11,,
Water Treatment personnel,"Number of employees working on water treatment planning, design, construction, operation and maintenance per unitary volume of produced water",11.0,N°/Mm3-yr,Number of Water treatment personnel/total water produced (Mm3),83,11,,
Network personnel,"Number of employees working on the planning, design, construction and maintenance of system transport, storage and distribution network",11.0,N°/Mm3-yr,Number of  Network personnel/total water produced (Mm3),84,11,,
Laboratory personnel,"Number of employees working on the monitoring, sampling and testing of water quality",11.0,N°/10000 test-yr,Number of Water quality personnel/total annual water quality test)*10000,85,5,,
Metering personnel,Number of employees working on water meters management per 1000 meters,11.0,N°/1000 meters-yr,(Number of metering personnel/total number water meters)*1000,86,4,,
Personnel with Bachelors degree,Percentage of employees that hold at least a Bachelor's degree,11.0,%,(Number of employees with Bachelor's degree/Total number of employees)*100,87,11,,
Personnel with Lower secondary education,Percentage of employees that hold at least Lower secondary education,11.0,%,(Number of employees with Lower secondary education/Total Number of employees)*100,88,11,,
Personnel with Other qualification,Percentage of employees that do not hold a Lower secondary education,11.0,%,(Number of employees without Lower secondary education/Total Number of employees)*100,89,11,,
Total Training,Number of hours of training per employee per year,11.0,h/emp.-yr,Total number of annual training hours/Total employees,90,11,,
Working accidents,Number of work accidents that required medical attention per 100 employees,11.0,N°/100 emp.-yr,(Total number of accidents/Total number of employees)*100,91,11,,
Work absence,Number of absent days per employee per year,11.0,N°/empl.,(Sum of total absent days/Total number of employees),92,11,,
Extra hours,Extra hours expressed as percentage of normal working hours,11.0,%,(Sum extra worked hours in a year/ Sum of normal working hours in a year)*100,93,11,,
Water plants usage,Percentage of daily volume of treatment per maximum volume of treatment possible,14.0,%,(Daily water treated/Daily water treatment capacity)*100,94,4,,
Impounding reservoir capacity,Raw water storage capacity per volume of intake water into the system,13.0,days,(Total raw water storage capacity (m3)/total daily water intake (m3/d),95,4,,
"Transmission and distribution storage
capacity",Treated water storage capacity per volume of intake water into the system,13.0,days,(Total treated water storage capacity (m3)/total daily water intake (m3/d),96,4,,
Pumping usage,Percentage of the maximum installed pumped capacity,8.0,%,Total pumps usage/Total pumps capacity,97,4,,
Standardized Energy Consumption,Percentage of total pumping energy as reactive energy,2.0,%,Total reactive energy/Total pumping energy*100,98,4,,
Energy recovery,Percentage of total pumping energy recovered trough turbines,2.0,%,Total recovered energy/Total pumping energy*100,99,4,,
Valve density,Number of valves per network length,15.0,N°/km,Total vales in the network/total length of network*100,100,4,,
Hydrant density,Number of hydrants per network length,3.0,N°/km,Toal hydrants in the network/total length of network*100,101,4,,
District meter density,Number of sector meters per 1000 connections,5.0,N°/1000 connections,No. of sector meter/total connections*1000,102,4,,
Costumer meter density,Number of client meters per connection,5.0,No./connection,Total number of meters/total connections,103,4,,
