ID,IndicatorName,Lookup Paper,Comment
1,10,1,
2,7,1,
3,6,1,
4,5,1,
5,27,1,
6,15,1,
7,24,1,
8,8,1,
10,31,1,
11,36,1,
12,46,1,
13,14,1,
14,39,2,
15,47,2,
16,26,2,
17,11,2,
19,13,2,
20,48,2,
21,50,2,
22,17,2,
23,53,2,
24,34,2,
25,20,2,
26,21,2,
27,22,2,
28,23,2,
29,41,2,
30,44,2,
31,38,2,
33,1,2,
34,40,2,
35,42,2,
36,15,2,
37,28,2,
39,37,2,
40,19,2,
41,43,2,
42,12,2,
43,33,2,
44,55,2,
46,32,2,
47,2,2,
48,25,2,
50,5,3,
53,52,3,
54,54,3,
56,10,3,
57,31,3,
58,31,3,
59,36,3,
60,46,3,
63,56,5,
64,57,5,
65,59,5,
67,40,5,
68,1,1,
69,62,5,
70,63,5,
71,64,5,
72,36,5,
73,20,5,
74,43,5,
75,31,5,
77,31,6,
78,54,6,
79,68,6,
80,69,6,
81,10,9,
82,36,9,
83,46,9,
84,5,9,
85,31,9,
86,54,9,
87,27,9,
89,61,5,
90,61,9,
91,70,9,
92,71,10,
93,36,10,Measured per HH
94,5,10,
95,27,10,
96,24,10,
97,46,10,
98,72,10,
99,31,10,
100,74,10,
101,73,10,
102,36,11,
103,5,11,
104,27,11,
105,28,11,
107,72,11,
108,31,11,
109,73,11,
110,74,11,
111,27,12,
112,10,12,
113,14,12,Inversed measurement. Own resources vs total Water
114,75,12,
115,76,12,
116,77,12,
117,78,12,
118,79,12,
119,80,12,
120,81,12,
121,83,12,
122,84,12,
123,85,12,
124,86,12,
125,87,12,
126,88,12,
127,89,12,
128,90,12,
129,91,12,
130,92,12,
131,93,12,
132,94,12,
133,95,12,
134,96,12,
135,56,12,measured as kWh/m3/100m
136,97,12,
137,98,12,
138,99,12,
139,100,12,
140,24,12,
141,28,12,
142,101,12,
143,102,12,
144,103,12,
145,104,12,
146,105,12,
147,39,12,
148,47,12,
149,106,12,
150,107,12,
152,13,12,
153,34,12,
154,108,12,
156,48,12,
157,17,12,
158,53,12,
159,111,12,
160,112,12,
161,21,12,
162,113,12,
163,22,12,
164,41,12,
165,23,12,
166,38,12,
167,40,12,
168,108,2,
169,1,12,
171,15,12,
172,37,12,
173,19,12,
174,12,12,
399,53,30,
400,5,31,
401,160,31,
403,27,31,
404,133,31,
405,73,31,
406,58,31,
407,126,31,
409,61,31,
410,61,32,
411,58,32,
412,147,32,
413,46,32,
414,31,32,
415,10,33,
416,14,33,
417,31,33,
418,36,33,
419,15,33,
420,143,33,
421,75,33,
422,61,33,
423,5,33,
424,36,33,
425,27,33,
426,1,33,
427,40,33,
428,15,33,
430,56,36,
431,126,36,
432,40,36,
433,5,36,
434,56,37,
435,10,37,Measured as total not per capita
436,40,17,
437,40,37,
438,147,37,
439,36,38,
440,46,38,
441,5,38,
442,27,38,
443,28,38,
444,73,38,Measured inversily
445,74,38,
446,54,38,
447,76,38,Measured per connection
448,36,39,
449,5,39,
450,28,39,
451,27,39,
452,46,39,
453,72,39,
454,31,39,
455,73,39,
456,74,39,
457,5,40,
458,65,40,
459,59,40,measured per day
460,10,41,
461,140,41,
462,10,268,Measured as total not per capita
463,59,11,measured per day
464,56,11,measured in kWh/m3
465,126,11,
466,74,11,
467,27,11,
468,57,11,
469,143,11,
470,22,11,
471,161,11,
472,19,11,
473,122,11,
474,36,11,
475,46,11,
476,31,11,
477,67,11,
479,27,43,
480,1,43,
481,56,43,
482,61,43,
483,104,43,
484,123,43,
485,73,43,Measured inversily
486,133,43,
487,126,43,
488,128,43,
489,131,43,
490,132,43,
491,54,43,
493,149,44,
494,43,255,
495,31,255,
496,8,262,
497,40,261,
498,162,262,
499,162,261,
500,140,261,
501,65,261,
502,143,264,
503,46,264,
504,21,264,
505,40,264,
506,127,264,
507,65,273,
509,138,264,
510,31,265,
511,5,268,
512,36,269,
513,40,269,
514,122,269,
515,120,20,
516,127,270,
517,56,270,
518,126,270,
519,128,270,
520,31,270,
521,123,270,
522,137,271,
523,8,271,
524,61,271,
525,10,273,Measured as Stream and groundwater level
526,31,273,
527,44,264,
528,52,273,
529,123,273,measured as percentage
530,5,275,
531,10,275,
532,59,275,
533,31,275,
534,65,275,
535,153,277,
536,154,277,
537,155,277,
538,5,277,
539,10,277,
540,36,278,
541,67,278,
542,72,278,
543,127,278,
544,90,278,
545,149,278,
546,150,278,
547,46,278,days/year
548,8,278,
549,19,278,
550,122,278,
551,120,278,
552,43,278,
553,44,278,
554,48,278,
215,27,2,
216,14,13,Inversed measurement
217,24,13,
218,95,13,
219,96,13,
220,138,13,
221,139,13,
222,5,13,
223,96,273,
224,46,13,
225,36,13,
226,140,13,
227,103,13,
228,141,13,
229,142,13,
230,143,13,
231,20,13,
232,41,13,
233,65,13,
234,65,5,
235,19,13,
236,144,13,
237,133,12,
238,133,13,
239,146,13,
240,145,13,
241,147,13,
242,15,13,
244,36,14,
245,59,14,
