ID,ZoteroID,Title,Year,Country
13,jwwaGuidelinesManagement05,<div>Guidelines for the management and assessment of drinking water services</div>,2005,Japan
14,adbHandbookSelecting15,<div>Handbook for Selecting Performance Indicators for ADB-funded Projects in the PRC</div>,2015,China
15,oecdWaterUtility11,<div>Water Utility Performance Indicators (IBNET)</div>,2011,World
16,bhattPoliticsPerformance24,<div>The Politics of Performance Benchmarking in Urban Water Supply: Sacrificing Equity on the Altar of Efficiency</div>,2024,India
17,bolognesiAssessingSociotechnical21,<div>Assessing socio-technical resistance to public policy instruments: Insights from water performance indicators in the Grenoble area (France)</div>,2021,France
19,canteleNewFramework18,<div>Local indices within a mathematical framework for urban water distribution systems</div>,2019,World
20,carricoInformationSystem23,<div>An Information System for Infrastructure Asset Management Tailored to Portuguese Water Utilities: Platform Conceptualization and a Prototype Demonstration</div>,2023,Portugal
21,changWaterSecurity21,<div>Water security of the megacities in the Yangtze River basin: Comparative assessment and policy implications</div>,2021,China
22,chapagainUrbanWater22,<div>Urban water security: A comparative assessment and policy analysis of five cities in diverse developing countries of Asia</div>,2022,Multi-City
23,daiIndexSystem22,<div>Index System of Water Resources Development and Utilization Level Based on Water-Saving Society</div>,2022,China
24,declercqIdentificationUrban18,<div>Identification of urban drinking water supply patterns across 627 cities in China based on supervised and unsupervised statistical learning</div>,2018,China
25,dongBenchmarkingSustainability18,<div>Benchmarking sustainability of urban water infrastructure systems in China</div>,2018,China
26,gidionConsistencyEfficiency19,<div>Consistency in efficiency benchmarking: Urban water utility regulation with performance improvement</div>,2019,Tanzania
27,babelMeasuringWater20,<div>Measuring water security: A vital step for climate change adaptation</div>,2020,Thailand
28,haakWaterEconomyNexus20,<div>The Water-Economy Nexus: a Composite Index Approach to Evaluate Urban Water Vulnerability</div>,2020,United States
29,halkijevicIndicatorsNeuroFuzzy17,<div>Indicators and a Neuro-Fuzzy Based Model for the Evaluation of Water Supply Sustainability</div>,2017,Croatia
30,kaurInvestigatingTemporal22,<div>Investigating temporal dynamics of urban densification on the buried water infrastructure performance</div>,2022,Canada
31,khelladiStudyPerformance22,"<div>Study of the performance of the drinking water supply network: case of the new urban pole of Boujlida (City of Tlemcen, Algeria)</div>",2022,Algeria
32,morleyDecisionSupport16,<div>Decision support system for metabolism-based transition to urban water systems of tomorrow</div>,2016,United Kingdom
33,namavarDevelopingIndicatorbased23,<div>Developing an indicator-based assessment framework for assessing the sustainability of urban water management</div>,2023,"Iran, Islamic Rep."
36,reyesMitigationOptions17,<div>Mitigation options for futurewater scarcity: A case study in Santa Cruz Island (Galapagos Archipelago)</div>,2017,Ecuador
37,smithContributionUrban16,<div>Contribution of Urban Water Supply to Greenhouse Gas Emissions in China</div>,2016,China
38,srivastavaComparingMulticriteria23,<div>Comparing multi-criteria models for ranking the Performance of India's water supply utilities</div>,2023,India
39,tholiyaUrbanWater22,"<div>Urban Water Security: Geospatial Assessment For Water Supply Services In Pune, India</div>",2022,India
40,yuanDevelopmentMultidimensional23,"<div>Development of multidimensional water poverty in the Yangtze River Economic Belt, China</div>",2023,China
41,zhuUrbanWater20,<div>Urban water security assessment in the context of sustainability and urban water management transitions: An empirical study in Shanghai</div>,2020,China
43,barrosAssessmentEconomic23,<div>Assessment of the economic sustainability of water capture from surface and underground water sources to supply urban areas</div>,2023,Brazil
44,batistaMethodologyDetermining22,<div>Methodology for Determining Sustainable Water Consumption Indicators for Buildings</div>,2022,Brazil
1,aboelngaAssessingWater20,"<div><font face=""Aptos Display"" color=black>Assessing Water Security in Water-Scarce Cities:</font></div><div><font face=""Aptos Display"" color=black>Applying the Integrated Urban Water Security Index</font></div><div><font face=""Aptos Display"" color=black>(IUWSI) in Madaba, Jordan</font></div>",2020,Jordan
2,alnaamaniOperationalTechnical21,<div>Operational and technical performance of a water distribution network in Oman</div>,2021,Oman
3,alwathafApplicationIntegrated24,"<div>Application of Integrated Urban Water Security</div><div>Index (IUWSI) in Sana’a, Yemen (Case study)</div>",2024,"Yemen, Rep."
5,amaralDriversWater23,<div><font size=2>Drivers of water utilities? operational performance-An analysis from the Portuguese case</font></div>,2023,Portugal
6,antonioCompositeIndicator22,"<div><font size=2 color=black style=""BACKGROUND-COLOR:#FFFFFF"">A composite indicator index as a proxy for measuring the quality of water supply as perceived by users for urban water services </font></div>",2022,Spain
9,assefaDevelopmentGeneric19,"<div>Development of a Generic Domestic Water Security Index, and Its Application in Addis Ababa, Ethiopia</div>",2018,Ethiopia
10,balekelayiComparisonPerformance22,"<div>Comparison of the Performance of a Surrogate Based Gaussian Process, NSGA2 and PSO Multi-objective Optimization of the Operation and Fuzzy Structural Reliability of Water Distribution System: Case Study for the City of Asmara, Eritrea</div>",2022,Eritrea
11,bandariDeterminantsCapita21,<div>Determinants of per capita water supply in Indian cities with low surface water availability</div>,2021,India
12,alegrePerformanceIndicators16,<div>Performance Indicators for Water Supply Services: Third Edition</div>,2016,World
255,bekerFuzzyLogicbased22,Fuzzy Logic-Based Integrated Performance Evaluation of a Water Distribution Network,2022,Ethiopia
261,carneiroExploratoryAnalysis23,Exploratory Analysis of Surrogate Metrics to Assess the Resilience of Water Distribution Networks,2023,Portugal
262,carneiroIntegratingUncertainty24,Integrating Uncertainty in Performance Assessment of Water Distribution Networks by Scenario Building,2024,Portugal
264,carricoMulticriteriaDecision21,Multi-Criteria Decision Analysis in Urban Water Asset Management,2021,Portugal
265,chaiResearchPerformance22,"Research on Performance Evaluation and Obstacle Diagnosis for Urban Water Ecological Civilization Construction Based on GFAHP-cloud-FSE Model: The Case of Shizuishan, China",2022,China
268,chenSustainableCities23,Towards Sustainable Cities: Studying Evaluation Index of Water Environment Carrying Capacity,2023,China
269,cimellaroNewResilience16,New Resilience Index for Urban Water Distribution Networks,2016,Italy
270,coleCentralizedDecentralized18,Centralized and Decentralized Strategies for Dual Water Supply: Case Study,2018,United States
271,creacoCombinedUse16,The Combined Use of Resilience and Loop Diameter Uniformity as a Good Indirect Measure of Network Reliability,2016,Virtual
273,dasallasDevelopmentApplication24,Development and Application of Technical Key Performance Indicators (KPIs) for Smart Water Cities (SWCs) Global Standards and Certification Schemes,2024,"Korea, Rep."
275,dengComprehensiveEvaluation22,"Comprehensive Evaluation on Urban Water Security Based on the Novel DPEBLR Concept Model and the Cloud Matter-Element Model: A Case Study of Chongqing, China",2022,China
277,dongComprehensiveEvaluation18,"Comprehensive Evaluation Ofwater Resource Security: Case Study from Luoyang City, China",2018,China
278,esmailiOrganizationalCompetency17,Organizational Competency in Urban Water Infrastructure Asset Management,2017,Multi-City
279,felisaSustainabilityAnalysis19,Sustainability Analysis of Alternative Long-Term Management Strategies for Water Supply Systems: A Case Study in Reggio Emilia (Italy),2019,Italy
280,fullertonShortTermForecasting16,Short-Term Forecasting Analysis for Municipal Water Demand,2016,United States
281,garcez-de-oliveiraSustainabilityIndicators22,Sustainability Indicators for Evaluation of Municipal Urban Water Management System: The Case of Volta Redonda -- RJ/ Brazil,2022,Brazil
282,garciaMethodologyAssessing24,Methodology for Assessing Progress in Sustainable Development Goals Indicators in Urban Water Systems. How Far Are We from the 2030 Targets?,2024,World
286,goswamiDevelopmentWater24,The Development of Water Security Index in Urbanized Sub-Himalayan Region: The Study of Jammu City,2024,India
290,hoepersIntegratedApproach24,An Integrated Approach to Decision-Making Variables on Urban Water Systems Using an Urban Water Use (UWU) Decision-Support Tool,2024,Brazil
291,honey-rosesMetricsMethods19,Metrics and Methods for Comparing Water Utility Rate Structures,2019,Canada
292,jabariAssessmentUrban20,Assessment of the Urban Water Security in a Severe Water Stress Area-Application to Palestinian Cities,2020,West Bank and Gaza
293,jensenUrbanWater20,Urban Water Systems: Development of Microlevel Indicators to Support Integrated Policy,2020,Indonesia
294,karamouzReliabilityBasedAssessment17,Reliability-Based Assessment of Lifecycle Cost of Urban Water Distribution Infrastructures,2017,"Iran, Islamic Rep."
